incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision
423;2015-01-01 15:00:00;3;10;199;Pürglers Kunke;2500;46.80335;12.29281;30;4;3;0;0;3;3;yes;true;1
424;2015-01-31 00:00:00;1;2;81;Portlerhorn;1900;47.28784;9.8547;40;2;3;0;2;0;2;yes;true;1
425;2015-01-31 13:15:00;1;1;159;Namlos;2100;47.35092;10.59968;35;8;3;0;0;3;3;yes;true;1
426;2015-01-31 11:30:00;1;5;149;Polsterkar, Präbichl;1900;47.53186;14.9621;38;4;3;0;0;1;1;yes;true;1
427;2015-02-01 10:25:00;1;2;83;Schindlergrat / Westflanke;2500;47.15003;10.22043;40;7;3;0;0;3;3;yes;true;1
443;2015-02-12 10:04:00;1;1;175;Steinberg Alm;;47.39939;12.36843;;;2;0;0;0;0;none;true;1
429;2015-01-28 10:18:00;1;1;161;Nordkette / Diritissima;2200;47.31148;11.38523;45;5;3;1;0;2;3;yes;true;1
430;2015-01-31 11:52:00;1;8;74;Hochkar;1730;47.71472;14.90666;40;2;3;1;0;2;3;yes;true;1
431;2015-02-01 12:30:00;1;1;175;Aleitenspitze;2250;47.3088;12.12364;38;4;3;0;0;1;1;yes;true;1
433;2015-01-31 13:19:00;1;1;181;Granatscharte;2500;47.12458;12.57802;32;7;3;1;0;0;1;yes;true;1
435;2015-02-01 15:00:00;1;8;122;Schneeberg, Hoyosgraben;1425;47.79015;15.8047;36;1;3;1;0;0;1;yes;true;1
437;2015-01-31 09:45:00;12;38;58;Nízke Tatry - Chopok - Lukový kotol;1950;48.94494;19.59237;40;2;3;1;0;0;1;yes;true;1
460;2015-02-28 13:00:00;1;1;173;Geier;2400;47.1383;11.61337;35;1;2;0;0;1;1;yes;true;1
469;2015-02-13 13:30:00;1;1;159;Engelspitze;2150;47.34736;10.68619;40;8;2;0;1;0;1;yes;true;2
438;2015-01-31 14:00:00;1;5;149;Oisching;1550;47.59574;15.27246;43;3;3;1;0;0;1;yes;true;1
439;2015-02-07 12:10:00;1;1;159;Pleiskopf;;47.25331;10.65507;;;3;1;0;1;2;yes;true;1
440;2015-02-11 11:30:00;1;1;177;Hinterer Brunnenkogel;3200;46.91673;10.87108;42;4;3;0;0;1;1;yes;true;1
441;2015-02-10 09:00:00;1;8;122;Rax/Seilbahntrasse;1495;47.71923;15.78522;38;3;4;0;1;9;10;yes;true;1
442;2015-02-11 17:30:00;1;1;161;Seefelder Spitze ;2100;47.33481;11.23692;35;7;3;0;0;1;1;yes;true;1
444;2015-02-07 11:22:00;1;1;177;Gaislachkogel;2900;46.93907;10.9723;40;5;3;1;0;0;1;yes;true;1
445;2015-01-31 10:45:00;1;1;164;Kapall;2100;47.14408;10.24412;40;6;3;0;0;1;1;yes;true;1
