incident_id;datum;country_id;region_id;subregion_id;ort;elevation;latitude;longitude;incline;aspect_id;danger_id;n_injured;n_dead;n_uninjured;involved_sum;involved;valid_time;revision;region_name;involved_id;___id;___s
6758;1993-03-13 00:00:00;1;1;175;Gerstinger Joch - Spertental;1830;47.348154;12.262694;;1;4;0;1;;;yes;true;1;Tirol;30001;T000002R000018;true
6759;1993-03-13 00:00:00;1;1;165;Sebenspitze - Brentenjoch;1750;47.27;10.535;;1;;1;0;;;yes;true;1;Tirol;2001;T000002R000019;true
6760;1993-03-13 00:00:00;1;1;161;Speckkarspitze - Bettelwurfgebiet;2510;47.345788;11.48681;;5;3;0;1;;;yes;true;1;Tirol;30001;T000002R000020;true
6761;1993-03-15 00:00:00;1;1;177;Königstal - Obergurgl;2050;46.93;10.985;;7;;0;0;;;yes;true;1;Tirol;0;T000002R000021;true
6762;1993-03-20 00:00:00;1;1;172;Roter Schrofen - ;2500;47.115001;11.005001;;8;;0;0;;;yes;true;1;Tirol;0;T000002R000022;true
6763;1993-03-26 00:00:00;1;1;172;Roter Schrofen - ;;47.115002;11.005002;;;;0;0;;;none;true;1;Tirol;0;T000002R000023;true
6764;1993-03-30 00:00:00;1;1;172;Sulzkogel - ;2900;47.115003;11.005003;;5;;2;0;;;yes;true;1;Tirol;2002;T000002R000024;true
6765;1993-04-12 00:00:00;1;1;178;Querkogeljoch - Gurgler Ferner;3200;46.774029;10.974983;40;3;4;0;4;;;yes;true;1;Tirol;30004;T000002R000025;true
6766;1993-04-25 00:00:00;1;1;177;Winnebacher Weißkogel - Roßkarscharte;2800;46.930001;10.985001;35;1;;1;0;;;yes;true;1;Tirol;2001;T000002R000026;true
6767;1993-04-27 00:00:00;1;1;177;Schalfkogel - Marzellferner;2400;46.930002;10.985002;;6;;1;0;;;yes;true;1;Tirol;2001;T000002R000027;true
6768;1993-05-22 00:00:00;1;1;177;Taschach-Hochjoch - Eiswand;3280;46.930003;10.985003;45;1;;2;0;;;yes;true;1;Tirol;2002;T000002R000028;true
6769;1993-07-17 00:00:00;1;1;181;Hochgall - Rieserferner;3250;47.025;12.43;;;;10;0;;;yes;true;1;Tirol;2010;T000002R000029;true
6770;1993-12-18 00:00:00;2;9;18;Palinkopf - Westl. der Schwarzen Wand;2580;46.995;10.385;;4;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000030;true
6771;1993-12-18 00:00:00;1;1;180;Vennspitze - Valsertal;;47.105001;11.810001;;;;0;0;;;none;true;1;Tirol;0;T000002R000031;true
6772;1993-12-19 00:00:00;1;1;172;Zischgeles - ;2700;47.115004;11.005004;;;3;1;0;;;yes;true;1;Tirol;2001;T000002R000032;true
6773;1993-12-22 00:00:00;1;1;172;Zischgeles - ;;47.115005;11.005005;;;4;2;0;;;yes;true;1;Tirol;2002;T000002R000033;true
6774;1993-12-29 00:00:00;1;1;184;Langschneid - ;2250;46.906421;12.321427;35;1;3;0;1;;;yes;true;1;Tirol;30001;T000002R000034;true
6775;1993-12-29 00:00:00;1;1;177;Rotkogel - Hochsölden;2790;46.96698;10.953631;45;3;3;0;1;;;yes;true;1;Tirol;30001;T000002R000035;true
6776;1994-01-03 00:00:00;2;9;18;Idalpe - Sonnenlift;;46.995001;10.385001;40;5;;0;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000036;true
6777;1994-01-06 00:00:00;1;1;175;Ellmauer Tor - ;1895;47.390001;12.240001;39;6;3;1;0;;;yes;true;1;Tirol;2001;T000002R000037;true
6778;1994-01-07 00:00:00;1;1;173;Griffjoch - Kreuzjöchl;2500;47.235002;11.645002;;8;3;1;0;;;yes;true;1;Tirol;2001;T000002R000038;true
6779;1994-01-15 00:00:00;1;1;173;Schafseitenspitze - ;2400;47.235003;11.645003;32;2;;0;0;;;yes;true;1;Tirol;0;T000002R000039;true
6780;1994-01-27 00:00:00;2;9;18;Lazid - Komperdell;2250;46.995002;10.385002;;1;;0;0;;;none;true;1;Schweiz-Suisse-Svizzera-Svizra;0;T000002R000040;true
6781;1994-01-27 00:00:00;2;9;18;Obere Scheid - ;2500;46.995003;10.385003;;4;5;1;0;;;yes;true;1;Schweiz-Suisse-Svizzera-Svizra;2001;T000002R000041;true
