Stationsmessort:	Beobachter
Stationsname:	Beobachtung Mooserboden
Stationsnummer:	AT-5-LWD-103015-4
Lokale Koordinaten X:	403193,099709
Lokale Koordinaten Y:	225603,090275
MPH:	2070
Parametername:	WG mit Verfrachtung
Parametertyp:	WSpeed
Name des Parametertyps:	Windgeschwindigkeit
Name der Zeitreihe:	5644436/AT-5-LWD-103015-4/WGmitV/Cmd
Einheit der Zeitreihe:	Bft
Regionale Koordinaten X:	-46806,900291
Regionale Koordinaten Y:	225603,090275
Geografische Länge:	12,715257
Geografische Breite:	47,167737
Datum;Uhrzeit;Wert[Bft];Status des Werts
03.03.1994;22:00:00;---;Ungeprüft
04.03.1994;07:00:00;1;Ungeprüft
04.03.1994;10:00:00;6;Ungeprüft
04.03.1994;16:00:00;5;Ungeprüft
04.03.1994;22:00:00;2;Ungeprüft
05.03.1994;07:00:00;---;Ungeprüft
05.03.1994;10:00:00;---;Ungeprüft
05.03.1994;16:00:00;---;Ungeprüft
05.03.1994;22:00:00;---;Ungeprüft
06.03.1994;07:00:00;---;Ungeprüft
06.03.1994;10:00:00;---;Ungeprüft
06.03.1994;16:00:00;---;Ungeprüft
06.03.1994;22:00:00;---;Ungeprüft
07.03.1994;07:00:00;---;Ungeprüft
07.03.1994;10:00:00;---;Ungeprüft
07.03.1994;16:00:00;---;Ungeprüft
07.03.1994;22:00:00;---;Ungeprüft
08.03.1994;07:00:00;---;Ungeprüft
08.03.1994;10:00:00;---;Ungeprüft
08.03.1994;16:00:00;---;Ungeprüft
08.03.1994;22:00:00;---;Ungeprüft
09.03.1994;07:00:00;---;Ungeprüft
09.03.1994;10:00:00;---;Ungeprüft
09.03.1994;16:00:00;---;Ungeprüft
09.03.1994;22:00:00;---;Ungeprüft
10.03.1994;07:00:00;---;Ungeprüft
10.03.1994;10:00:00;---;Ungeprüft
10.03.1994;16:00:00;---;Ungeprüft
10.03.1994;22:00:00;---;Ungeprüft
11.03.1994;07:00:00;---;Ungeprüft
11.03.1994;10:00:00;---;Ungeprüft
11.03.1994;16:00:00;---;Ungeprüft
11.03.1994;22:00:00;---;Ungeprüft
12.03.1994;07:00:00;---;Ungeprüft
12.03.1994;10:00:00;---;Ungeprüft
12.03.1994;16:00:00;---;Ungeprüft
12.03.1994;22:00:00;---;Ungeprüft
13.03.1994;07:00:00;---;Ungeprüft
13.03.1994;10:00:00;---;Ungeprüft
13.03.1994;16:00:00;---;Ungeprüft
13.03.1994;22:00:00;---;Ungeprüft
14.03.1994;07:00:00;---;Ungeprüft
14.03.1994;10:00:00;---;Ungeprüft
14.03.1994;16:00:00;---;Ungeprüft
14.03.1994;22:00:00;---;Ungeprüft
15.03.1994;07:00:00;---;Ungeprüft
15.03.1994;10:00:00;---;Ungeprüft
15.03.1994;16:00:00;---;Ungeprüft
15.03.1994;22:00:00;---;Ungeprüft
16.03.1994;07:00:00;---;Ungeprüft
16.03.1994;10:00:00;---;Ungeprüft
16.03.1994;16:00:00;---;Ungeprüft
16.03.1994;22:00:00;---;Ungeprüft
17.03.1994;07:00:00;---;Ungeprüft
17.03.1994;10:00:00;---;Ungeprüft
17.03.1994;16:00:00;---;Ungeprüft
17.03.1994;22:00:00;---;Ungeprüft
18.03.1994;07:00:00;---;Ungeprüft
18.03.1994;10:00:00;---;Ungeprüft
18.03.1994;16:00:00;---;Ungeprüft
18.03.1994;22:00:00;---;Ungeprüft
19.03.1994;07:00:00;---;Ungeprüft
19.03.1994;10:00:00;---;Ungeprüft
19.03.1994;16:00:00;---;Ungeprüft
19.03.1994;22:00:00;---;Ungeprüft
20.03.1994;07:00:00;---;Ungeprüft
20.03.1994;10:00:00;---;Ungeprüft
20.03.1994;16:00:00;---;Ungeprüft
20.03.1994;22:00:00;---;Ungeprüft
21.03.1994;07:00:00;---;Ungeprüft
21.03.1994;10:00:00;---;Ungeprüft
21.03.1994;16:00:00;---;Ungeprüft
21.03.1994;22:00:00;---;Ungeprüft
22.03.1994;07:00:00;---;Ungeprüft
22.03.1994;10:00:00;---;Ungeprüft
22.03.1994;16:00:00;---;Ungeprüft
22.03.1994;22:00:00;---;Ungeprüft
23.03.1994;07:00:00;---;Ungeprüft
23.03.1994;10:00:00;---;Ungeprüft
23.03.1994;16:00:00;---;Ungeprüft
23.03.1994;22:00:00;---;Ungeprüft
24.03.1994;07:00:00;---;Ungeprüft
24.03.1994;10:00:00;---;Ungeprüft
24.03.1994;16:00:00;---;Ungeprüft
24.03.1994;22:00:00;---;Ungeprüft
25.03.1994;07:00:00;---;Ungeprüft
25.03.1994;10:00:00;---;Ungeprüft
25.03.1994;16:00:00;---;Ungeprüft
25.03.1994;22:00:00;---;Ungeprüft
26.03.1994;07:00:00;---;Ungeprüft
26.03.1994;10:00:00;---;Ungeprüft
26.03.1994;16:00:00;---;Ungeprüft
26.03.1994;22:00:00;---;Ungeprüft
27.03.1994;07:00:00;---;Ungeprüft
27.03.1994;10:00:00;---;Ungeprüft
27.03.1994;16:00:00;---;Ungeprüft
27.03.1994;22:00:00;---;Ungeprüft
28.03.1994;07:00:00;---;Ungeprüft
28.03.1994;10:00:00;---;Ungeprüft
28.03.1994;16:00:00;---;Ungeprüft
28.03.1994;22:00:00;---;Ungeprüft
29.03.1994;07:00:00;---;Ungeprüft
29.03.1994;10:00:00;---;Ungeprüft
29.03.1994;16:00:00;---;Ungeprüft
29.03.1994;22:00:00;---;Ungeprüft
30.03.1994;07:00:00;---;Ungeprüft
30.03.1994;10:00:00;---;Ungeprüft
30.03.1994;16:00:00;---;Ungeprüft
30.03.1994;22:00:00;---;Ungeprüft
31.03.1994;07:00:00;---;Ungeprüft
31.03.1994;10:00:00;---;Ungeprüft
31.03.1994;16:00:00;---;Ungeprüft
31.03.1994;22:00:00;---;Ungeprüft
01.04.1994;07:00:00;---;Ungeprüft
01.04.1994;10:00:00;---;Ungeprüft
01.04.1994;16:00:00;---;Ungeprüft
01.04.1994;22:00:00;---;Ungeprüft
02.04.1994;07:00:00;---;Ungeprüft
02.04.1994;10:00:00;---;Ungeprüft
02.04.1994;16:00:00;---;Ungeprüft
02.04.1994;22:00:00;---;Ungeprüft
03.04.1994;07:00:00;---;Ungeprüft
03.04.1994;10:00:00;---;Ungeprüft
03.04.1994;16:00:00;---;Ungeprüft
03.04.1994;22:00:00;---;Ungeprüft
04.04.1994;07:00:00;1;Ungeprüft
04.04.1994;10:00:00;2;Ungeprüft
04.04.1994;16:00:00;3;Ungeprüft
04.04.1994;22:00:00;1;Ungeprüft
05.04.1994;07:00:00;---;Ungeprüft
05.04.1994;10:00:00;---;Ungeprüft
05.04.1994;16:00:00;---;Ungeprüft
05.04.1994;22:00:00;---;Ungeprüft
06.04.1994;07:00:00;---;Ungeprüft
06.04.1994;10:00:00;---;Ungeprüft
06.04.1994;16:00:00;---;Ungeprüft
06.04.1994;22:00:00;---;Ungeprüft
07.04.1994;07:00:00;---;Ungeprüft
07.04.1994;10:00:00;---;Ungeprüft
07.04.1994;16:00:00;---;Ungeprüft
07.04.1994;22:00:00;---;Ungeprüft
08.04.1994;07:00:00;---;Ungeprüft
08.04.1994;10:00:00;---;Ungeprüft
08.04.1994;16:00:00;---;Ungeprüft
08.04.1994;22:00:00;---;Ungeprüft
09.04.1994;07:00:00;---;Ungeprüft
09.04.1994;10:00:00;---;Ungeprüft
09.04.1994;16:00:00;---;Ungeprüft
09.04.1994;22:00:00;---;Ungeprüft
10.04.1994;07:00:00;1;Ungeprüft
10.04.1994;10:00:00;1;Ungeprüft
10.04.1994;16:00:00;1;Ungeprüft
10.04.1994;22:00:00;4;Ungeprüft
11.04.1994;07:00:00;---;Ungeprüft
11.04.1994;10:00:00;---;Ungeprüft
11.04.1994;16:00:00;---;Ungeprüft
11.04.1994;22:00:00;---;Ungeprüft
12.04.1994;07:00:00;2;Ungeprüft
12.04.1994;10:00:00;2;Ungeprüft
12.04.1994;16:00:00;3;Ungeprüft
12.04.1994;22:00:00;4;Ungeprüft
13.04.1994;07:00:00;3;Ungeprüft
13.04.1994;10:00:00;4;Ungeprüft
13.04.1994;16:00:00;4;Ungeprüft
13.04.1994;22:00:00;3;Ungeprüft
14.04.1994;07:00:00;---;Ungeprüft
14.04.1994;10:00:00;---;Ungeprüft
14.04.1994;16:00:00;---;Ungeprüft
14.04.1994;22:00:00;---;Ungeprüft
15.04.1994;07:00:00;---;Ungeprüft
15.04.1994;10:00:00;---;Ungeprüft
15.04.1994;16:00:00;---;Ungeprüft
15.04.1994;22:00:00;---;Ungeprüft
16.04.1994;07:00:00;---;Ungeprüft
16.04.1994;10:00:00;---;Ungeprüft
16.04.1994;16:00:00;---;Ungeprüft
16.04.1994;22:00:00;---;Ungeprüft
17.04.1994;07:00:00;---;Ungeprüft
17.04.1994;10:00:00;---;Ungeprüft
17.04.1994;16:00:00;---;Ungeprüft
17.04.1994;22:00:00;---;Ungeprüft
18.04.1994;07:00:00;---;Ungeprüft
18.04.1994;10:00:00;---;Ungeprüft
18.04.1994;16:00:00;---;Ungeprüft
18.04.1994;22:00:00;---;Ungeprüft
19.04.1994;07:00:00;---;Ungeprüft
